mankomunitatea,ehunekoa,errefusa
San Marko,40,266
Txingudi,39,353
Urola Kosta,43,288
Urola Erdia,44,210
Debagoiena,59,144
Debabarrena,35,243
Sasieta,58,163
Tolosaldea,45,234
